candidate_id,architecture,repeat,profile,component,energy_pj,scales_with,activity,activity_unit,owner
rfbr1-ee53e17bbdf58e4d0fce,O1,1,nominal,laser,17552.8872303,execution_time_x_provisioned_tx_lanes,11760,lane_ns,sidecar_static_laser
rfbr1-ee53e17bbdf58e4d0fce,O1,1,nominal,thermal_tuning,45864,execution_time_x_active_resonators,11760,resonator_ns,sidecar_static_tuning
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,serializer,202137.6,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,deserializer_cdr,132834.24,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,eo_modulator_driver,34151.04,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,oe_receiver_tia,75398.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,0,present_boolean,sidecar_loss_budget
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,waveguide_passive,0,length_loss_not_dynamic_bits,0.01,mm,sidecar_loss_budget
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,laser,1646400,execution_time_x_provisioned_tx_lanes,11760,lane_ns,sidecar_static_laser
rfbr1-ee53e17bbdf58e4d0fce,O1,1,high,thermal_tuning,611520,execution_time_x_active_resonators,23520,resonator_ns,sidecar_static_tuning
rfbr1-cc34e4a47d08c2d57249,O2,0,low,serializer,9246.72,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-cc34e4a47d08c2d57249,O2,0,low,deserializer_cdr,11753.28,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-cc34e4a47d08c2d57249,O2,0,low,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-cc34e4a47d08c2d57249,O2,0,low,eo_modulator_driver,1108.8,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-cc34e4a47d08c2d57249,O2,0,low,oe_receiver_tia,1552.32,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-cc34e4a47d08c2d57249,O2,0,low,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-cc34e4a47d08c2d57249,O2,0,low,waveguide_passive,0,length_loss_not_dynamic_bits,0.0474305555556,mm,sidecar_loss_budget
rfbr1-cc34e4a47d08c2d57249,O2,0,low,laser,8107.2,execution_time_x_provisioned_tx_lanes,27024,lane_ns,sidecar_static_laser
rfbr1-cc34e4a47d08c2d57249,O2,0,low,thermal_tuning,0,execution_time_x_active_resonators,0,resonator_ns,sidecar_static_tuning
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,serializer,34406.4,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,deserializer_cdr,53621.568,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,eo_modulator_driver,15523.2,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,oe_receiver_tia,31046.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,waveguide_passive,0,length_loss_not_dynamic_bits,0.0474305555556,mm,sidecar_loss_budget
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,laser,63945.873246,execution_time_x_provisioned_tx_lanes,27024,lane_ns,sidecar_static_laser
rfbr1-cc34e4a47d08c2d57249,O2,0,nominal,thermal_tuning,105393.6,execution_time_x_active_resonators,27024,resonator_ns,sidecar_static_tuning
rfbr1-cc34e4a47d08c2d57249,O2,0,high,serializer,202137.6,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-cc34e4a47d08c2d57249,O2,0,high,deserializer_cdr,132834.24,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-cc34e4a47d08c2d57249,O2,0,high,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-cc34e4a47d08c2d57249,O2,0,high,eo_modulator_driver,34151.04,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-cc34e4a47d08c2d57249,O2,0,high,oe_receiver_tia,75398.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-cc34e4a47d08c2d57249,O2,0,high,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-cc34e4a47d08c2d57249,O2,0,high,waveguide_passive,0,length_loss_not_dynamic_bits,0.0474305555556,mm,sidecar_loss_budget
rfbr1-cc34e4a47d08c2d57249,O2,0,high,laser,3783360,execution_time_x_provisioned_tx_lanes,27024,lane_ns,sidecar_static_laser
rfbr1-cc34e4a47d08c2d57249,O2,0,high,thermal_tuning,1405248,execution_time_x_active_resonators,54048,resonator_ns,sidecar_static_tuning
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,serializer,9246.72,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,deserializer_cdr,11753.28,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,eo_modulator_driver,1108.8,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,oe_receiver_tia,1552.32,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,waveguide_passive,0,length_loss_not_dynamic_bits,0.0474305555556,mm,sidecar_loss_budget
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,laser,8107.2,execution_time_x_provisioned_tx_lanes,27024,lane_ns,sidecar_static_laser
rfbr1-8d69dd87b6e0ad4187c4,O2,1,low,thermal_tuning,0,execution_time_x_active_resonators,0,resonator_ns,sidecar_static_tuning
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,serializer,34406.4,original_bit_count,21504,original_bit,sidecar_serdes_tx
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,deserializer_cdr,53621.568,encoded_bit_count,22176,encoded_bit,sidecar_serdes_rx
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,eo_modulator_driver,15523.2,encoded_bit_count,22176,encoded_bit,sidecar_eo
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,oe_receiver_tia,31046.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,waveguide_passive,0,length_loss_not_dynamic_bits,0.0474305555556,mm,sidecar_loss_budget
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,laser,63945.873246,execution_time_x_provisioned_tx_lanes,27024,lane_ns,sidecar_static_laser
rfbr1-8d69dd87b6e0ad4187c4,O2,1,nominal,thermal_tuning,105393.6,execution_time_x_active_resonators,27024,resonator_ns,sidecar_static_tuning
rfbr1-8d69dd87b6e0ad4187c4,O2,1,high,serializer,202137.6,original_bit_count,21504,original_bit,sidecar_serdes_tx
